Timestamp,Gender,Age,Education level,Field of occupation,Occupation level,Country of Residence,Which of the following mobile phone app uses AI in its operations,Can an AI tool determine if you have risk of Pneumonia by examining your chest x-rays?,"When you try to unlock your mobile phone using a pin, does an underline AI tool make that decision?",Think about the advertisements you see when you are on the internet. Are those selected by AI tools?,Assume that an AI system makes decisions for you in your day-to-day activities. How important is it to know the reasons behind such decisions?,Assume that an AI system makes decisions for you in your day-to-day activities. When do you need an explanation for such a decision?,A person is discharged from the hospital after a hospital stay of more than a week. An AI system predicts that he will be readmitted within the next 30 days.,An online clothing store recommends dresses to its customer with the help of an AI system. Suppose this system recommends the dress in Figure 1,A company decides the salary of its new recruits using an AI system. For one employee the AI systems decided to pay less than $50k per annum. ,An AI system developed to recognize different pets has recognized the animal in Figure 1 as a Cat.,"Decisions made by different AI systems may have different impacts on you, e.g., financial impact or medical impact. AI systems with which impact needs the most explanations? Rank from the impact that needs the most explanation to the least. (1 - most, 5 - least). [Financial impact]","Decisions made by different AI systems may have different impacts on you, e.g., financial impact or medical impact. AI systems with which impact needs the most explanations? Rank from the impact that needs the most explanation to the least. (1 - most, 5 - least). [Medical impact]","Decisions made by different AI systems may have different impacts on you, e.g., financial impact or medical impact. AI systems with which impact needs the most explanations? Rank from the impact that needs the most explanation to the least. (1 - most, 5 - least). [Legal impact]","Decisions made by different AI systems may have different impacts on you, e.g., financial impact or medical impact. AI systems with which impact needs the most explanations? Rank from the impact that needs the most explanation to the least. (1 - most, 5 - least). [Social posting  impact (fb/ig)]","Decisions made by different AI systems may have different impacts on you, e.g., financial impact or medical impact. AI systems with which impact needs the most explanations? Rank from the impact that needs the most explanation to the least. (1 - most, 5 - least). [Time Wasted]",Which kind of explanations about the AI system would you like to see? ,What kind of explanation is more useful for you?,"Consider the following scenarios where AI systems make decisions. Rank the scenarios from the one needing explanations most to the least.(1 - most, 5 - least) [A surveillance system detecting suspicious person at public places.]","Consider the following scenarios where AI systems make decisions. Rank the scenarios from the one needing explanations most to the least.(1 - most, 5 - least) [A smartwatch detecting Atrial fibrillation (a common heart rhythm disorder that elevates stroke risk) in stroke survivors.]","Consider the following scenarios where AI systems make decisions. Rank the scenarios from the one needing explanations most to the least.(1 - most, 5 - least) [A remote monitoring systems in tunnels alerting maintenance requirements.]","Consider the following scenarios where AI systems make decisions. Rank the scenarios from the one needing explanations most to the least.(1 - most, 5 - least) [An intelligent virtual assistant helping to operate home appliances.]","Consider the following scenarios where AI systems make decisions. Rank the scenarios from the one needing explanations most to the least.(1 - most, 5 - least) [A parking slot recommendation systems in the city area.]",I expect explanations to be,Are there any comments or concerns you would like to raise about XAI?
3/22/2022 12:59,Female,32,Completed Post Graduate Degree,Computer and Mathematical,Student,Singapore,Email,Yes,No,Yes,Very important,I need an explanation for both decisions,(b),(b),(b),(a),4,5,3,2,1,An explanation for every decision made by the AI system - once per decision,An explanation explaining why AI made a certain decision,4,5,3,2,1,Interactive - Allow me to understand reasoning of the AI system in different granularities,N/A
3/22/2022 13:22,Female,30,Completed Post Graduate Degree,Unoccupied,,Singapore,None of the above,Yes,No,Yes,Very important,I need an explanation for both decisions,(a),(a),(a),(a),3,1,2,4,5,Explanation per decision if requested,An explanation explaining why AI made a certain decision,2,1,3,4,5,Easy to understand - Expect no technical expertise from me, 
3/22/2022 13:47,Male,28,Completed Undergraduate Degree,Computer and Mathematical,Entry level,Sri Lanka,Email,Yes,No,Yes,Very important,I need an explanation when I do not get the decision I expected,(b),(b),(b),(b),3,1,2,5,4,"An overall explanation of how the AI system works - once for the application, An explanation for every decision made by the AI system - once per decision",An explanation explaining why AI made a certain decision,2,1,3,4,5,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples, Discriminative - State Specific reasons influence the different decisions of AI system, Interactive - Allow me to understand reasoning of the AI system in different granularities, I'd like to see other options that I have in some scenarios (maybe percentage wise)",
3/22/2022 14:17,Male,30,Completed Undergraduate Degree,"Education, Training, and Library",Student,Singapore,None of the above,Yes,No,Yes,Very important,I need an explanation when I do not get the decision I expected,(a),(a),(a),(a),4,1,2,3,5,An explanation for every decision made by the AI system - once per decision,An explanation explaining why AI made a certain decision,2,1,3,4,5,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Discriminative - State Specific reasons influence the different decisions of AI system",
3/22/2022 14:40,Male,28,Completed Undergraduate Degree,Computer and Mathematical,Mid level,Sri Lanka,All of the above,Yes,No,Yes,Important,I need an explanation for both decisions,(b),(b),(b),(a),2,1,4,5,3,"An overall explanation of how the AI system works - once for the application, An explanation for every decision made by the AI system - once per decision, Explanation per decision if requested",An explanation explaining how you can change AI's decision in the future,1,3,2,5,4,"Easy to understand - Expect no technical expertise from me, Interactive - Allow me to understand reasoning of the AI system in different granularities, I'd like to see other options that I have in some scenarios (maybe percentage wise)",
3/22/2022 14:58,Female,33,Completed Post Graduate Degree,Healthcare Practitioners and Technical,Mid level,Sri Lanka,All of the above,Yes,Yes,Yes,Very important,I need an explanation for both decisions,(b),(b),(b),(a),1,2,3,4,5,Explanation per decision if requested,An explanation explaining how you can change AI's decision in the future,1,2,3,5,4,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples, Discriminative - State Specific reasons influence the different decisions of AI system, Interactive - Allow me to understand reasoning of the AI system in different granularities, I'd like to see other options that I have in some scenarios (maybe percentage wise)",
3/22/2022 15:10,Male,36,Completed Post Graduate Degree,Computer and Mathematical,Executive level,Singapore,All of the above,Yes,Yes,Yes,Important,I need an explanation for both decisions,(b),(b),(b),(b),4,5,3,1,2,"An overall explanation of how the AI system works - once for the application, Explanation per decision if requested",An explanation explaining why AI made a certain decision,3,1,2,4,5,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples, Discriminative - State Specific reasons influence the different decisions of AI system, Interactive - Allow me to understand reasoning of the AI system in different granularities",
3/22/2022 15:25,Male,33,Completed Undergraduate Degree,Computer and Mathematical,Management level,Sri Lanka,Email,Yes,No,Yes,Important,I need an explanation for both decisions,(a),(b),(b),(a),3,2,1,5,4,"An overall explanation of how the AI system works - once for the application, Explanation per decision if requested",An explanation explaining why AI made a certain decision,1,2,3,4,5,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples, Interactive - Allow me to understand reasoning of the AI system in different granularities",
3/22/2022 15:31,Male,30,Completed Post Graduate Degree,Architecture and Engineering,Senior Engineer,Singapore,Email,Yes,No,Yes,Very important,I need an explanation for both decisions,(b),(b),(b),(a),2,1,3,4,5,An overall explanation of how the AI system works - once for the application,An explanation explaining how you can change AI's decision in the future,2,1,3,5,4,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples",
3/22/2022 15:51,Female,32,Completed Post Graduate Degree,Computer and Mathematical,Researcher,Singapore,Email,Yes,No,Yes,Very important,I need an explanation for both decisions,(b),(b),(b),(b),2,1,3,5,4,Explanation per decision if requested,An explanation explaining how you can change AI's decision in the future,2,1,3,5,4,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples, Discriminative - State Specific reasons influence the different decisions of AI system, Interactive - Allow me to understand reasoning of the AI system in different granularities, I'd like to see other options that I have in some scenarios (maybe percentage wise)",
3/22/2022 19:17,Female,33,Completed Post Graduate Degree,Architecture and Engineering,Lecturer,Sri Lanka,Email,Yes,No,Yes,Very important,I need an explanation when I do not get the decision I expected,(b),(b),(b),(a),2,1,3,5,4,An overall explanation of how the AI system works - once for the application,An explanation explaining why AI made a certain decision,3,2,1,5,4,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Consistent - Provide similar explanations for similar/neighboring examples, Interactive - Allow me to understand reasoning of the AI system in different granularities",
3/22/2022 19:21,Female,31,Masters,Architecture and Engineering,Senior Engineer,Sri Lanka,Email,Yes,Yes,Yes,Important,I need an explanation when I do not get the decision I expected,(a),(a),(a),(a),3,5,4,1,2,An overall explanation of how the AI system works - once for the application,An explanation explaining why AI made a certain decision,5,3,2,1,4,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Consistent - Provide similar explanations for similar/neighboring examples, Interactive - Allow me to understand reasoning of the AI system in different granularities",
3/22/2022 19:33,Female,26,Completed Undergraduate Degree,Computer and Mathematical,Entry level,Sri Lanka,Email,Yes,No,Yes,Very important,I need an explanation for both decisions,(a),(a),(a),(a),2,1,3,5,4,An overall explanation of how the AI system works - once for the application,An explanation explaining how you can change AI's decision in the future,2,1,3,5,4,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples, Interactive - Allow me to understand reasoning of the AI system in different granularities",
3/22/2022 19:37,Female,28,Completed Undergraduate Degree,Other,Executive level,Sri Lanka,None of the above,Yes,No,No,Very important,I need an explanation for both decisions,(a),(a),(a),(a),2,1,3,4,5,"An overall explanation of how the AI system works - once for the application, Explanation per decision if requested",An explanation explaining why AI made a certain decision,5,2,1,3,4,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Interactive - Allow me to understand reasoning of the AI system in different granularities, I'd like to see other options that I have in some scenarios (maybe percentage wise)",
3/22/2022 19:42,Female,33,Masters,Construction and Extraction,Lecturer,Sri Lanka,All of the above,No,No,Yes,Very important,I need an explanation for both decisions,(b),(b),(b),(a),1,5,4,3,2,Explanation per decision if requested,An explanation explaining how you can change AI's decision in the future,1,2,3,4,5,"Easy to understand - Expect no technical expertise from me, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples",
3/22/2022 19:47,Male,33,Completed Undergraduate Degree,Architecture and Engineering,Executive level,Sri Lanka,All of the above,No,No,Yes,Important,I need an explanation for both decisions,(a),(a),(a),(a),2,1,3,4,5,Explanation per decision if requested,An explanation explaining how you can change AI's decision in the future,1,3,2,4,5,Discriminative - State Specific reasons influence the different decisions of AI system,
3/22/2022 20:06,Male,31,Completed Undergraduate Degree,Computer and Mathematical,Senior Engineer,Singapore,None of the above,Yes,No,Yes,Very important,I need an explanation for both decisions,(a),(a),(b),(a),4,5,3,1,2,"An overall explanation of how the AI system works - once for the application, An explanation for every decision made by the AI system - once per decision, Explanation per decision if requested",An explanation explaining how you can change AI's decision in the future,5,4,2,1,3,"Faithful - Reflect the actual reasoning of the AI system, Discriminative - State Specific reasons influence the different decisions of AI system, Interactive - Allow me to understand reasoning of the AI system in different granularities",
3/22/2022 20:12,Male,32,Completed Post Graduate Degree,Architecture and Engineering,Researcher,Singapore,None of the above,Yes,No,Yes,Important,I need an explanation for both decisions,(b),(b),(b),(b),3,1,2,4,5,Explanation per decision if requested,An explanation explaining why AI made a certain decision,1,2,3,4,5,"Easy to understand - Expect no technical expertise from me, Consistent - Provide similar explanations for similar/neighboring examples, Interactive - Allow me to understand reasoning of the AI system in different granularities",
3/22/2022 21:06,Female,30,Masters,Architecture and Engineering,Student,Singapore,None of the above,Yes,No,Yes,Very important,I need an explanation for both decisions,(b),(b),(a),(a),1,2,4,3,5,Explanation per decision if requested,An explanation explaining why AI made a certain decision,3,1,2,4,5,Easy to understand - Expect no technical expertise from me,
3/22/2022 21:29,Female,38,Completed Undergraduate Degree,Computer and Mathematical,Management level,Singapore,None of the above,Yes,Yes,Yes,Important,I need an explanation for both decisions,(a),(b),(a),(a),2,1,3,5,4,Explanation per decision if requested,An explanation explaining why AI made a certain decision,2,1,3,4,5,"Easy to understand - Expect no technical expertise from me, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples, I'd like to see other options that I have in some scenarios (maybe percentage wise)",
3/22/2022 21:43,Male,30,PhD (but confusing that Postgraduate degree is separate from masters),Computer and Mathematical,Senior Engineer,Sri Lanka,Email,Yes,No,Yes,Important,I need an explanation for both decisions,(b),(b),(b),(b),5,4,3,2,1,"I think it depends on the person. Hence, you might need to evaluate each user's preferences towards different applications of AI and based on that provide the explanation.",An explanation explaining how you can change AI's decision in the future,2,1,3,4,5,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples, Discriminative - State Specific reasons influence the different decisions of AI system, Interactive - Allow me to understand reasoning of the AI system in different granularities, I'd like to see other options that I have in some scenarios (maybe percentage wise)",you might have already come across this : https://www.microsoft.com/en-us/haxtoolkit/
3/22/2022 22:25,Female,35,Completed Undergraduate Degree,Architecture and Engineering,Middle level,Sri Lanka,None of the above,Yes,No,Yes,Very important,I need an explanation for both decisions,(a),(a),(a),(a),1,3,4,2,5,Explanation per decision if requested,An explanation explaining how you can change AI's decision in the future,3,2,4,5,1,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Interactive - Allow me to understand reasoning of the AI system in different granularities, I'd like to see other options that I have in some scenarios (maybe percentage wise)",
3/22/2022 23:14,Male,32,Completed Post Graduate Degree,Computer and Mathematical,Middle level,India,Email,Yes,Yes,Yes,Very important,I need an explanation for both decisions,(b),(b),(b),(a),3,1,2,4,5,Explanation per decision if requested,An explanation explaining why AI made a certain decision,2,1,3,5,4,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Consistent - Provide similar explanations for similar/neighboring examples",
3/22/2022 23:57,Female,31,Completed Post Graduate Degree,Computer and Mathematical,Entry level,United Kingdom,Email,Yes,No,Yes,Very important,I need an explanation for both decisions,(b),(b),(b),(a),2,1,3,4,5,"An explanation for every decision made by the AI system - once per decision, Explanation per decision if requested",An explanation explaining how you can change AI's decision in the future,3,1,2,5,4,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples, Discriminative - State Specific reasons influence the different decisions of AI system, Interactive - Allow me to understand reasoning of the AI system in different granularities",
3/23/2022 0:16,Female,32,Completed Post Graduate Degree,Architecture and Engineering,Middle level,Singapore,Email,Yes,Yes,Yes,Very important,I need an explanation for both decisions,(a),(b),(a),(a),1,2,3,5,4,"An overall explanation of how the AI system works - once for the application, Explanation per decision if requested",An explanation explaining why AI made a certain decision,4,1,2,5,3,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples, Discriminative - State Specific reasons influence the different decisions of AI system, Interactive - Allow me to understand reasoning of the AI system in different granularities, I'd like to see other options that I have in some scenarios (maybe percentage wise)",-
3/23/2022 1:50,Male,33,Completed Post Graduate Degree,Computer and Mathematical,Middle level,United States,Email,Yes,No,Yes,Important,I need an explanation for both decisions,(b),(b),(a),(a),2,1,3,4,5,Explanation per decision if requested,An explanation explaining how you can change AI's decision in the future,2,1,5,3,4,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Discriminative - State Specific reasons influence the different decisions of AI system, Interactive - Allow me to understand reasoning of the AI system in different granularities",
3/23/2022 3:20,Female,27,Completed Post Graduate Degree,Computer and Mathematical,Unoccupied,Australia,Email,Yes,No,Yes,Important,I need an explanation when I do not get the decision I expected,(b),(b),(b),(a),1,2,3,5,4,An explanation for every decision made by the AI system - once per decision,An explanation explaining why AI made a certain decision,2,1,4,3,5,"Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples, Discriminative - State Specific reasons influence the different decisions of AI system, I'd like to see other options that I have in some scenarios (maybe percentage wise)",I think the interactive version of XAI would be better if it can be simple and clearly communicated than words. Not everyone can understand a language at the same level but an image is way more descriptive. But the images shown here have more text to it which makes it harder to follow. Having a simple colour codes and fewer words explanation with visuals > a paragraph explanation of a choice by AI (which sometime give away it's just a machine for some virtual assistant app)
3/23/2022 4:13,Male,32,Completed Undergraduate Degree,Computer and Mathematical,Entry level,United States,Email,Yes,No,Yes,Neutral,I need an explanation when I do not get the decision I expected,(b),(b),(a),(b),3,1,2,4,5,Explanation per decision if requested,An explanation explaining how you can change AI's decision in the future,2,1,3,4,5,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples",
3/23/2022 4:14,Female,34,Completed Post Graduate Degree,Computer and Mathematical,Middle level,United States,Email,Yes,No,Yes,Very important,I need an explanation when I do not get the decision I expected,(a),(b),(b),(a),2,1,3,5,4,An overall explanation of how the AI system works - once for the application,An explanation explaining why AI made a certain decision,2,1,4,3,5,Easy to understand - Expect no technical expertise from me,no
3/23/2022 4:24,Male,34,Completed Post Graduate Degree,Management,Middle level,New Zealand,Email,Yes,No,Yes,Very important,I need an explanation for both decisions,(a),(a),(a),(a),2,1,3,5,4,"An overall explanation of how the AI system works - once for the application, An explanation for every decision made by the AI system - once per decision",An explanation explaining why AI made a certain decision,2,3,1,4,5,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples, Interactive - Allow me to understand reasoning of the AI system in different granularities",
3/23/2022 6:04,Male,34,Completed Undergraduate Degree,Computer and Mathematical,Middle level,Australia,Email,Yes,No,Yes,Very important,I need an explanation for both decisions,(b),(b),(a),(a),2,1,5,4,3,Explanation per decision if requested,An explanation explaining why AI made a certain decision,1,2,3,5,4,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples, Discriminative - State Specific reasons influence the different decisions of AI system, Interactive - Allow me to understand reasoning of the AI system in different granularities, I'd like to see other options that I have in some scenarios (maybe percentage wise)",No. Thanks 
3/23/2022 8:07,Female,30,Completed Undergraduate Degree,Other,Management level,Sri Lanka,Email,Yes,No,Yes,Important,I need an explanation when I do not get the decision I expected,(a),(b),(a),(a),2,1,3,4,5,An overall explanation of how the AI system works - once for the application,An explanation explaining why AI made a certain decision,1,4,2,3,5,"Easy to understand - Expect no technical expertise from me, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity",
3/23/2022 8:38,Male,28,Completed Undergraduate Degree,Architecture and Engineering,Executive level,Sri Lanka,None of the above,No,No,Yes,Important,I need an explanation for both decisions,(a),(a),(a),(a),2,4,5,1,3,An explanation for every decision made by the AI system - once per decision,An explanation explaining why AI made a certain decision,4,3,5,1,2,"Discriminative - State Specific reasons influence the different decisions of AI system, Interactive - Allow me to understand reasoning of the AI system in different granularities, I'd like to see other options that I have in some scenarios (maybe percentage wise)",
3/23/2022 9:30,Male,32,Completed Undergraduate Degree,Computer and Mathematical,Middle level,United States,None of the above,Yes,No,Yes,Important,I need an explanation for both decisions,(b),(b),(b),(a),1,2,3,4,5,Explanation per decision if requested,An explanation explaining why AI made a certain decision,1,2,3,4,5,"Easy to understand - Expect no technical expertise from me, Consistent - Provide similar explanations for similar/neighboring examples, Discriminative - State Specific reasons influence the different decisions of AI system, I'd like to see other options that I have in some scenarios (maybe percentage wise)",
3/23/2022 11:40,Male,32,Completed Post Graduate Degree,Architecture and Engineering,Middle level,Singapore,None of the above,Yes,Yes,Yes,Neutral,I need an explanation for both decisions,(a),(a),(b),(a),3,4,5,1,2,"An overall explanation of how the AI system works - once for the application, An explanation for every decision made by the AI system - once per decision, Explanation per decision if requested",An explanation explaining how you can change AI's decision in the future,4,5,3,1,2,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples, Discriminative - State Specific reasons influence the different decisions of AI system, Interactive - Allow me to understand reasoning of the AI system in different granularities",
3/23/2022 11:45,Female,38,Completed High School,"Education, Training, and Library",Middle level,Sri Lanka,All of the above,Yes,No,Yes,Important,I need an explanation when I do not get the decision I expected,(a),(a),(a),(b),2,1,4,3,5,An overall explanation of how the AI system works - once for the application,An explanation explaining how you can change AI's decision in the future,1,2,4,3,5,Easy to understand - Expect no technical expertise from me,
3/23/2022 12:51,Male,33,Completed Undergraduate Degree,Computer and Mathematical,Management level,Australia,Email,No,No,Yes,Very important,I need an explanation for both decisions,(b),(b),(b),(b),4,5,3,2,1,Explanation per decision if requested,An explanation explaining why AI made a certain decision,3,1,4,5,2,"Easy to understand - Expect no technical expertise from me, Interactive - Allow me to understand reasoning of the AI system in different granularities",
3/23/2022 13:27,Male,34,Completed Post Graduate Degree,Architecture and Engineering,Middle level,Australia,Email,No,No,Yes,Important,I need an explanation for both decisions,(a),(a),(a),(a),2,1,3,4,5,An overall explanation of how the AI system works - once for the application,An explanation explaining why AI made a certain decision,1,2,4,3,5,Interactive - Allow me to understand reasoning of the AI system in different granularities,
3/23/2022 13:54,Female,27,Completed Undergraduate Degree,"Education, Training, and Library",Entry level,Sri Lanka,Email,Yes,No,Yes,Very important,I need an explanation for both decisions,(a),(b),(a),(a),3,5,2,4,1,"An overall explanation of how the AI system works - once for the application, An explanation for every decision made by the AI system - once per decision, Explanation per decision if requested",An explanation explaining why AI made a certain decision,5,4,3,2,1,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples, Discriminative - State Specific reasons influence the different decisions of AI system, Interactive - Allow me to understand reasoning of the AI system in different granularities, I'd like to see other options that I have in some scenarios (maybe percentage wise)",
3/23/2022 13:54,Female,31,Completed Post Graduate Degree,Computer and Mathematical,Middle level,Australia,Email,Yes,No,Yes,Very important,I need an explanation for both decisions,(b),(b),(b),(a),3,2,1,5,4,"An overall explanation of how the AI system works - once for the application, Explanation per decision if requested",An explanation explaining why AI made a certain decision,1,3,2,4,5,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples, Discriminative - State Specific reasons influence the different decisions of AI system, Interactive - Allow me to understand reasoning of the AI system in different granularities, I'd like to see other options that I have in some scenarios (maybe percentage wise)","The capability to trace outcome to model and training data, and fairness are also important."
3/23/2022 15:12,Female,30,Completed Post Graduate Degree,Architecture and Engineering,Entry level,Australia,Email,Yes,Yes,Yes,Very important,I need an explanation for both decisions,(b),(b),(a),(a),2,1,3,5,4,An explanation for every decision made by the AI system - once per decision,An explanation explaining why AI made a certain decision,2,1,3,4,5,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples",
3/23/2022 16:17,Male,32,Completed Post Graduate Degree,Business and Financial Operations,Middle level,Australia,Email,Yes,No,Yes,Important,I need an explanation for both decisions,(b),(b),(b),(b),2,1,3,4,5,"An overall explanation of how the AI system works - once for the application, An explanation for every decision made by the AI system - once per decision, Explanation per decision if requested",An explanation explaining why AI made a certain decision,1,2,3,4,5,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples",
3/23/2022 16:49,Male,34,Completed Post Graduate Degree,Computer and Mathematical,Middle level,New Zealand,None of the above,Yes,No,Yes,Very important,I need an explanation for both decisions,(b),(b),(b),(b),2,1,3,5,4,Explanation per decision if requested,An explanation explaining why AI made a certain decision,3,1,2,5,4,Easy to understand - Expect no technical expertise from me,
3/23/2022 18:59,Male,33,Completed Post Graduate Degree,"Installation, Maintenance, and Repair",Middle level,Canada,None of the above,No,No,Yes,Very important,I need an explanation for both decisions,(b),(b),(b),(a),1,2,3,4,5,"An overall explanation of how the AI system works - once for the application, Explanation per decision if requested",An explanation explaining why AI made a certain decision,1,2,4,3,5,"Consistent - Provide similar explanations for similar/neighboring examples, Interactive - Allow me to understand reasoning of the AI system in different granularities, I'd like to see other options that I have in some scenarios (maybe percentage wise)",Knowing how AI made the decision is really important 
3/24/2022 3:35,Male,32,Completed Undergraduate Degree,Computer and Mathematical,Middle level,Netherlands,Email,Yes,No,Yes,Neutral,I need an explanation when I get the decision I expected,(b),(b),(b),(a),3,1,2,5,4,"An explanation for every decision made by the AI system - once per decision, Explanation per decision if requested",An explanation explaining how you can change AI's decision in the future,2,1,3,4,5,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Consistent - Provide similar explanations for similar/neighboring examples",
3/24/2022 5:09,Female,37,Completed Post Graduate Degree,Computer and Mathematical,Middle level,Australia,Email,Yes,No,Yes,Very important,I need an explanation for both decisions,(b),(a),(a),(a),2,1,3,5,4,Explanation per decision if requested,An explanation explaining how you can change AI's decision in the future,3,1,2,4,5,"Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Discriminative - State Specific reasons influence the different decisions of AI system, I'd like to see other options that I have in some scenarios (maybe percentage wise), I would like to have easy to understand explanations, but with some technical aspects as well. ",
3/24/2022 15:20,Male,22,Completed High School,Unoccupied,Unoccupied,Sri Lanka,Email,Yes,No,Yes,Very important,I need an explanation for both decisions,(a),(a),(a),(b),3,1,2,5,4,Explanation per decision if requested,An explanation explaining why AI made a certain decision,3,1,2,4,5,"Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples, Discriminative - State Specific reasons influence the different decisions of AI system, Interactive - Allow me to understand reasoning of the AI system in different granularities, I'd like to see other options that I have in some scenarios (maybe percentage wise), I would like to have easy to understand explanations, but with some technical aspects as well.",
3/24/2022 15:27,Male,22,Completed High School,Unoccupied,Unoccupied,Sri Lanka,Email,Yes,Yes,Yes,Important,I need an explanation when I do not get the decision I expected,(b),(a),(b),(a),3,2,1,5,4,"An overall explanation of how the AI system works - once for the application, Explanation per decision if requested",An explanation explaining why AI made a certain decision,1,5,4,3,2,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Consistent - Provide similar explanations for similar/neighboring examples, I'd like to see other options that I have in some scenarios (maybe percentage wise), I would like to have easy to understand explanations, but with some technical aspects as well.",
3/24/2022 15:34,Female,22,Completed High School,Unoccupied,Unoccupied,Sri Lanka,Email,Yes,No,Yes,Very important,I need an explanation for both decisions,(b),(b),(b),(a),2,1,3,5,4,"An overall explanation of how the AI system works - once for the application, Explanation per decision if requested",An explanation explaining why AI made a certain decision,3,1,2,5,4,"Easy to understand - Expect no technical expertise from me, Consistent - Provide similar explanations for similar/neighboring examples",
